11,13,14,15,19,20,22,23,24,26,29,30,101,102,103,104,105,106,108,110,114,115,118
,,,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,
,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,,
,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,
,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,
,,,,,,,,0.0,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,0.0,,,,,,,,0.0,,
,,,,,,,,,,,0.0,,,,,,0.0,,,,,
,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,
,,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,
,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,,,0.0,,
0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,
,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,
0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,
,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,
,,,,,,,,,,0.0,,,,,,,,,,,,
,,,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,
0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,
,,,41.0,,20.0,,,,,5.0,,,8.0,,,,,,,,,
,,,,,,,,,,,,,,,13.0,,,,6.0,,,
,,,,,,5.0,,,,,,,,,,,,,3.0,,,
,,,,,,,,3.0,,,,,,,,,,,,,,
12.0,,12.0,,,,,,11.0,,,,,7.0,,,18.0,,,,,,
,,,9.0,,,,,,,,,,,,,,,,,,,
,,,,,3.0,,,,,,,,,,,,,,,,,
